ESTADO,MUNICÍPIO,REGIONAL,Com qual gênero você se identifica?,Qual é a sua idade?,Qual é o seu grau de escolaridade?,Quantas pessoas vivem na sua casa?,Qual a renda mensal da sua família?,Faixa Renda,Renda Per Capita,Faixa Renda Per Capita,Salário utilizado para pagar a conta,"De 1 a 10, qual nota você dá para o fornecimento de energia sem interrupção, ou seja, não faltar luz na sua casa?","De 1 a 10, que nota você dá para a variação da energia, ou seja, sem ficar alternando luz forte com luz fraca na sua casa?","De 1 a 10, qual nota você atribui para a rapidez na volta da energia quando falta energia na sua casa, ou seja, o tempo que leva para a energia voltar, quando falta?","Alguma vez você recebeu algum aviso da EMPRESA DE ENERGIA, informando que você ficaria sem energia, por causa da realização de serviços para melhorar a rede elétrica?","Caso sim, como você ficou sabendo que a falta de energia aconteceu por causa de um serviço de melhoria da rede elétrica que tinha sido programado pela EMPRESA DE ENERGIA? (Citar os possíveis canais para medir qual o meio de comunicação mais eficaz)","De 1 a 10, como você avalia o aviso recebido?",A EMPRESA DE ENERGIA fornece orientações para evitar o desperdício de energia?,"A EMPRESA DE ENERGIA orienta o cliente sobre a medição do consumo de energia, ou seja, como se faz a leitura do medidor?",A EMPRESA DE ENERGIA informa aos clientes sobre os riscos e perigos da rede elétrica?,A EMPRESA DE ENERGIA esclarece aos clientes sobre seus direitos e deveres?,Você recebe mensalmente sua conta de luz?,Por onde você recebe sua conta de luz?,Dê uma nota de 1 até 10 para o prazo entre o recebimento da conta e o vencimento (pagamento) da conta.,"Dê uma nota de 1 até 10 para a conta de luz sem erros, ou seja, com a leitura do seu consumo correta.",Dê uma nota de 1 até 10 para a facilidade no entendimento das informações que estão na conta de luz.,"Dê uma nota de 1 até 10 para a disponibilidade de locais para pagamento (tais como bancos, internet, correios, rede comercial conveniada tais como supermercados, farmácias dentre outros). ",Dê uma nota de 1 até 10 para a data de vencimento da conta de luz.,Você sabia que é possível alterar a data do vencimento da sua fatura?,Mudar a data do vencimento te ajudaria?,"Você já entrou em contato com a EMPRESA DE ENERGIA, qual o canal de comunicação foi utilizado? (qual canal?)",Qual serviço foi solicitado?,Dê uma nota de 1 até 10 para a facilidade para entrar em contato com a empresa quando quiser pedir informações ou serviços.,"Qual nota você atribui para o tempo de espera de atendimento da EMPRESA DE ENERGIA, seja por telefone, agência EMPRESA DE ENERGIA ou colaborador em campo (eletricista, leiturista etc). (notas de 1 até 10)",Qual nota você atribui a agilidade/rapidez do atendimento ao consumidor (pessoa que o atende por telefone ou na agência da EMPRESA DE ENERGIA)? (nota de 1 até 10),"De 1 a 10, qual nota você atribui para o conhecimento que os colaboradores EMPRESA DE ENERGIA têm sobre o assunto, sobre conseguir responder suas dúvidas.","De 1 a 10, qual nota você atribui para facilidade de entendimento das informações dadas pela EMPRESA DE ENERGIA (as informações são claras e fáceis de entender)?","De 1 a 10, qual nota você atribui para a educação e gentileza da equipe?",Dê uma nota de 1 até 10 para o prazo informado pela empresa para a realização dos serviços solicitados pelo consumidor.,"Dê uma nota de 1 até 10 para solução definitiva do problema, ou seja, resolver o problema de uma vez.",Dê uma nota de 1 até 10 para o cumprimento do prazo informado pela empresa para resolver as solicitações dos consumidores.,A EMPRESA DE ENERGIA respeita os direitos dos consumidores?,A EMPRESA DE ENERGIA é justa com os consumidores?,"A EMPRESA DE ENERGIA investe na melhoria da qualidade do fornecimento de energia, ou seja, investe em melhorias do fornecimento de energia, como por exemplo, faz manutenção em transformadores, em fios, em postes etc?",A EMPRESA DE ENERGIA comunica aos seus consumidores sobre a sua atuação e atividades realizadas? (Nota de 1 até 10),"De 1 a 10, a EMPRESA DE ENERGIA combate o consumo irregular da energia elétrica, por exemplo fraudes como gatos, furto de energia etc?",A EMPRESA DE ENERGIA fornece atendimentos sem discriminação ou imparcialidade?,"A EMPRESA DE ENERGIA está disposta a negociar com seus clientes, como por exemplo em parcelamento de faturas?",A EMPRESA DE ENERGIA cuida do meio ambiente?,"A EMPRESA DE ENERGIA é uma empresa preparada organizada para atender casos de emergência (enchentes, deslizamentos de terra, incêndio, tempestades muito fortes com muito vento)?",SATISFACAO_GERAL,Quanto mais ou menos você paga por mês em sua conta de luz?,"Como você considera o valor da conta de energia de 1 a 5, onde 1 é muito caro, 3 normal e 5 muito barato?",PerCapitaCategoria,Comprometimento (%),UF,Vulneravel_Renda,Vulneravel_Educacao,Pobreza_Energetica,Vulneravel_Multiplo,Faixa_Comprometimento
ALAGOAS,MACEIO,LESTE,Feminino,31 - 40,Fundamental incompleto,2,1900.0,De 1501 a 2000,950.0,De 901 a 1000,De 31 a 40%,1,1,1,Não,,,4,7,6,4,Não,Impressa e entregue pelo leiturista,4,3,4,5,4,Não,Sim,Aplicativo,2ª via de conta,1,3,1,4,4,3,2,5,3,5,3,4,4,1,1,5,2,2,2,373,2.0,Classe C,19.63157894736842,AL,False,True,True,2,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,31 - 40,Fundamental incompleto,1,1500.0,De 601 a 1500,1500.0,De 1001 a 1500,De 11 a 20%,4,4,4,Não,,,8,7,9,9,Sim,Impressa e entregue pelo leiturista,7,5,6,10,4,Não,Não,Aplicativo,2ª via de conta,2,3,4,5,5,5,5,4,2,6,2,6,1,4,1,2,1,4,3,228,5.0,Classe B,15.2,AL,False,True,True,2,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,41 - 50,Médio completo,4,2000.0,De 1501 a 2000,500.0,De 401 a 500,De 31 a 40%,9,9,6,Não,,,9,5,8,3,Não,Site,10,8,5,9,3,Não,Sim,Aplicativo,2ª via de conta,2,4,3,5,1,3,2,3,1,3,1,7,5,2,5,2,5,4,2,161,1.0,Baixa renda,8.05,AL,True,False,False,1,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,Acima de 60,Médio completo,2,1650.0,De 1501 a 2000,825.0,De 801 a 900,De 11 a 20%,7,7,7,Não,,,7,7,10,5,Sim,Site,9,9,3,9,9,Sim,Sim,Aplicativo,2ª via de conta,3,1,2,3,1,1,2,4,4,5,7,6,5,3,1,3,1,1,3,157,1.0,Classe C,9.515151515151516,AL,True,False,False,1,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,31 - 40,Fundamental completo,2,1900.0,De 1501 a 2000,950.0,De 901 a 1000,De 21 a 30%,6,6,6,Não,,,10,7,8,4,Sim,Impressa e entregue pelo leiturista,1,4,4,9,9,Não,Sim,Aplicativo,2ª via de conta,5,5,4,4,3,5,2,1,4,2,3,5,4,1,3,5,4,2,3,233,1.0,Classe C,12.263157894736842,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,41 - 50,Médio completo,5,4000.0,De 3501 a 4000,800.0,De 701 a 800,De 41 a 50%,7,1,9,Não,,,10,8,5,9,Não,Impressa e entregue pelo leiturista,5,6,6,4,4,Não,Não,Aplicativo,Informações gerais,5,3,2,2,1,2,2,3,2,7,5,1,1,1,5,2,1,1,2,350,3.0,Baixa renda,8.75,AL,True,False,False,1,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,41 - 50,Médio completo,5,2750.0,De 2501 a 3000,550.0,De 501 a 600,De 51 a 60%,9,6,10,Não,,,4,6,3,7,Sim,Impressa e entregue pelo leiturista,5,4,3,7,6,Não,Não,Eletricista/ Leiturista,Informações gerais,2,3,3,4,2,1,3,5,4,5,6,2,8,6,5,8,2,3,5,324,1.0,Baixa renda,11.781818181818181,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,18 - 30,Analfabeto,5,2333.3333333333335,De 2001 a 2500,466.6666666666667,De 401 a 500,De 51 a 60%,1,1,1,Sim,Jornal,9,5,8,6,5,Sim,Impressa e entregue pelo leiturista,6,6,7,4,7,Sim,Sim,Eletricista/ Leiturista,2ª via de conta,5,1,1,5,5,1,2,1,3,5,3,6,4,8,7,4,6,4,2,277,2.0,Baixa renda,11.87142857142857,AL,True,True,True,3,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,18 - 30,Superior completo,4,5333.333333333333,Acima de 5000,1333.3333333333333,De 1001 a 1500,De 21 a 30%,7,7,8,Sim,Carro de som,10,7,5,6,8,Não,Site,9,6,4,8,1,Não,Não,Eletricista/ Leiturista,Informações gerais,5,5,5,1,2,3,3,4,2,5,2,2,1,5,5,7,7,5,1,388,4.0,Classe B,7.275000000000001,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,18 - 30,Superior completo,2,5000.0,De 4501 a 5000,2500.0,Acima de 2000,Menos que 10%,7,7,10,Sim,Carro de som,8,7,5,4,10,Sim,Impressa e entregue pelo leiturista,8,10,7,4,2,Não,Não,E-mail,Reclamação,8,6,10,9,10,5,8,10,5,4,3,7,8,7,3,3,5,2,1,238,5.0,Classe B,4.760000000000001,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,41 - 50,Médio completo,2,2400.0,De 2001 a 2500,1200.0,De 1001 a 1500,De 21 a 30%,8,8,10,Não,,,6,9,5,5,Sim,Impressa e entregue pelo leiturista,4,1,3,3,7,Sim,Não,Não se Aplica,,5,8,10,10,7,8,10,5,9,4,6,3,2,4,4,3,4,5,5,329,1.0,Classe C,13.708333333333334,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,18 - 30,Médio completo,6,3000.0,De 2501 a 3000,500.0,De 401 a 500,De 71 a 80%,4,4,3,Sim,Rádio,4,6,4,7,5,Sim,Impressa e entregue pelo leiturista,7,4,1,9,5,Não,Não,Não se Aplica,,5,6,5,10,7,7,10,8,6,3,4,5,2,8,4,5,7,6,6,389,1.0,Baixa renda,12.966666666666669,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,Acima de 60,Fundamental incompleto,6,7000.0,Acima de 5000,1166.6666666666667,De 1001 a 1500,De 11 a 20%,7,5,7,Não,,,3,4,3,9,Sim,Impressa e entregue pelo leiturista,7,6,3,4,6,Sim,Não,Não se Aplica,,7,10,9,6,7,9,6,10,8,7,5,4,8,3,1,4,7,6,10,231,1.0,Classe C,3.3000000000000003,AL,False,True,False,1,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,31 - 40,Médio completo,4,2200.0,De 2001 a 2500,550.0,De 501 a 600,De 41 a 50%,9,6,3,Não,,,8,6,5,10,Não,Impressa e entregue pelo leiturista,3,1,7,8,2,Não,Não,Não se Aplica,,9,5,7,8,5,6,5,6,9,2,2,2,8,1,5,6,1,8,6,269,3.0,Baixa renda,12.227272727272727,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,18 - 30,Médio completo,3,2400.0,De 2001 a 2500,800.0,De 701 a 800,De 61 a 70%,6,6,5,Sim,Rádio,6,7,8,7,6,Sim,Impressa e entregue pelo leiturista,3,2,7,5,1,Sim,Não,Não se Aplica,,10,9,5,8,5,6,6,7,7,4,3,6,3,2,5,6,7,1,5,499,2.0,Baixa renda,20.791666666666668,AL,True,False,True,2,Alto (>20%)
ALAGOAS,MACEIO,LESTE,Masculino,31 - 40,Fundamental incompleto,3,2100.0,De 2001 a 2500,700.0,De 601 a 700,De 21 a 30%,10,10,9,Sim,Jornal,10,6,9,7,4,Sim,Impressa e entregue pelo leiturista,4,6,5,5,8,Não,Não,Site,,7,9,10,9,5,6,6,10,5,7,3,6,2,3,7,6,1,3,8,163,3.0,Baixa renda,7.761904761904762,AL,True,True,False,2,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,51 - 60,Pós Graduação/ Mestrado/ Doutorado,4,4000.0,De 3501 a 4000,1000.0,De 901 a 1000,De 41 a 50%,1,1,9,Não,,,4,7,8,4,Sim,Impressa e entregue pelo leiturista,10,9,9,10,4,Não,Não,Site,,7,6,8,7,8,9,5,9,8,3,2,4,5,3,2,5,2,1,7,467,3.0,Classe C,11.675,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,Acima de 60,Superior completo,6,8000.0,Acima de 5000,1333.3333333333333,De 1001 a 1500,De 11 a 20%,7,7,7,Não,,,9,10,3,10,Não,Impressa e entregue pelo leiturista,10,9,7,10,4,Não,Não,Site,,10,10,8,7,10,9,5,5,5,8,8,4,4,1,7,1,6,4,8,206,3.0,Classe B,2.5749999999999997,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,51 - 60,Analfabeto,2,2500.0,De 2001 a 2500,1250.0,De 1001 a 1500,De 21 a 30%,7,7,9,Sim,Rádio,10,10,8,9,4,Sim,Impressa e entregue pelo leiturista,9,6,1,9,7,Não,Não,Telefone 0800,Reclamação,1,9,3,5,7,2,2,6,10,4,2,7,2,7,4,5,8,9,9,368,2.0,Classe B,14.719999999999999,AL,False,True,True,2,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,Acima de 60,Analfabeto,3,1500.0,De 601 a 1500,500.0,De 401 a 500,De 51 a 60%,8,8,8,Sim,Jornal,6,8,8,3,9,Não,Impressa e entregue pelo leiturista,8,8,4,9,4,Sim,Não,Telefone 0800,Informações gerais,2,10,2,1,5,9,3,1,1,2,5,4,3,4,6,1,6,8,5,257,1.0,Baixa renda,17.133333333333333,AL,True,True,True,3,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,Acima de 60,Médio completo,4,3333.3333333333335,De 3001 a 3500,833.3333333333334,De 801 a 900,De 21 a 30%,7,1,7,Sim,Jornal,9,7,6,9,6,Sim,Impressa e entregue pelo leiturista,5,5,4,5,10,Não,Sim,Telefone 0800,Informações gerais,3,4,1,6,10,10,3,9,1,4,1,3,9,2,8,8,6,3,10,177,3.0,Classe C,5.31,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,51 - 60,Médio completo,1,1300.0,De 601 a 1500,1300.0,De 1001 a 1500,De 11 a 20%,7,1,8,Sim,Carro de som,7,9,6,4,7,Não,Impressa e entregue pelo leiturista,4,3,5,8,2,Não,Não,Telefone 0800,Falta de energia,4,6,4,8,4,3,9,1,3,6,8,2,2,4,9,7,1,10,8,254,1.0,Classe B,19.538461538461537,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,Acima de 60,Superior completo,3,3100.0,De 3001 a 3500,1033.3333333333333,De 1001 a 1500,De 41 a 50%,7,7,2,Não,,,5,9,10,5,Sim,Impressa e entregue pelo leiturista,8,9,9,8,9,Não,Não,Telefone 0800,Falta de energia,4,5,3,1,1,6,10,7,1,2,5,3,6,10,2,6,1,10,10,486,3.0,Classe C,15.67741935483871,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,18 - 30,Médio completo,1,1800.0,De 1501 a 2000,1800.0,De 1501 a 2000,De 11 a 20%,7,7,7,Sim,Rádio,8,5,8,8,10,Sim,Impressa e entregue pelo leiturista,7,4,6,8,5,Sim,Não,Telefone 0800,Falta de energia,5,7,5,5,6,10,5,5,10,2,2,1,4,8,5,1,4,5,10,291,2.0,Classe B,16.166666666666664,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,41 - 50,Fundamental completo,3,2200.0,De 2001 a 2500,733.3333333333334,De 701 a 800,De 31 a 40%,7,7,7,Não,,,7,9,9,4,Não,E-mail,10,4,6,2,1,Sim,Não,Telefone 0800,Reclamação,5,9,6,10,6,9,9,7,8,1,3,6,7,5,1,6,7,7,5,289,2.0,Baixa renda,13.136363636363638,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,41 - 50,Superior completo,3,5000.0,De 4501 a 5000,1666.6666666666667,De 1501 a 2000,De 21 a 30%,1,1,10,Sim,Rádio,9,4,8,8,5,Sim,Impressa e entregue pelo leiturista,8,9,10,8,6,Sim,Não,Telefone 0800,Reclamação,5,8,5,10,7,8,9,6,5,4,9,9,10,4,4,5,2,5,8,345,3.0,Classe B,6.9,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,31 - 40,Médio completo,3,1600.0,De 1501 a 2000,533.3333333333334,De 501 a 600,De 81 a 90%,8,8,1,Sim,Jornal,9,8,3,5,10,Sim,E-mail,7,9,8,8,8,Sim,Não,Telefone 0800,Informações gerais,6,5,9,8,5,10,9,6,6,1,7,7,3,8,1,7,3,3,10,464,2.0,Baixa renda,28.999999999999996,AL,True,False,True,2,Alto (>20%)
ALAGOAS,MACEIO,LESTE,Masculino,41 - 50,Pós Graduação/ Mestrado/ Doutorado,2,3800.0,De 3501 a 4000,1900.0,De 1501 a 2000,Menos que 10%,10,5,7,Não,,,3,9,3,4,Não,Site,9,7,3,10,3,Sim,Não,Telefone 0800,Falta de energia,6,5,10,7,7,9,6,8,8,7,4,7,10,5,7,8,9,1,5,197,4.0,Classe B,5.184210526315789,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,31 - 40,Médio completo,2,2500.0,De 2001 a 2500,1250.0,De 1001 a 1500,De 21 a 30%,4,4,6,Não,,,5,3,5,8,Sim,Impressa e entregue pelo leiturista,3,5,1,8,4,Não,Não,Telefone 0800,Informações gerais,7,7,8,10,7,5,7,7,8,7,4,8,7,2,9,10,8,2,9,336,1.0,Classe B,13.44,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,Acima de 60,Médio completo,4,3200.0,De 3001 a 3500,800.0,De 701 a 800,De 21 a 30%,9,9,6,Sim,Porteiro/ Síndico,4,3,3,5,9,Não,Impressa e entregue pelo leiturista,4,2,7,9,3,Não,Não,Telefone 0800,Informações gerais,7,10,10,1,4,1,5,2,1,8,8,4,10,9,5,1,5,3,7,191,2.0,Baixa renda,5.96875,AL,True,False,False,1,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,18 - 30,Analfabeto,1,600.0,Até 600,600.0,De 501 a 600,De 71 a 80%,2,2,2,Não,,,7,8,8,7,Sim,Aplicativo,9,5,6,5,10,Sim,Sim,Telefone 0800,Falta de energia,9,9,8,5,10,6,9,9,9,7,8,1,6,5,1,1,2,6,10,451,1.0,Baixa renda,75.16666666666667,AL,True,True,True,3,Alto (>20%)
ALAGOAS,MACEIO,LESTE,Feminino,31 - 40,Fundamental incompleto,3,1650.0,De 1501 a 2000,550.0,De 501 a 600,De 31 a 40%,9,9,1,Não,,,3,4,10,8,Sim,E-mail,7,9,8,8,1,Não,Não,Telefone 0800,Reclamação,9,10,5,9,7,8,10,5,6,7,4,4,4,4,7,8,2,7,6,218,2.0,Baixa renda,13.212121212121211,AL,True,True,True,3,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,Acima de 60,Médio completo,4,1733.3333333333333,De 1501 a 2000,433.3333333333333,De 401 a 500,De 91 a 100%,5,5,7,Sim,Rádio,9,8,3,10,10,Sim,E-mail,6,5,6,10,3,Não,Não,Telefone 0800,Informações gerais,9,6,3,3,3,8,6,7,2,10,1,6,4,1,8,2,3,4,5,401,1.0,Baixa renda,23.134615384615387,AL,True,False,True,2,Alto (>20%)
ALAGOAS,MACEIO,LESTE,Feminino,31 - 40,Pós Graduação/ Mestrado/ Doutorado,4,3866.6666666666665,De 3501 a 4000,966.6666666666666,De 901 a 1000,De 51 a 60%,9,9,9,Não,,,6,9,8,6,Não,Aplicativo,2,7,7,2,5,Não,Sim,Telefone 0800,Falta de energia,9,9,7,8,10,9,7,6,7,9,4,3,1,3,4,10,2,3,10,497,1.0,Classe C,12.85344827586207,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,51 - 60,Fundamental incompleto,4,4666.666666666667,De 4501 a 5000,1166.6666666666667,De 1001 a 1500,De 21 a 30%,7,1,7,Sim,Rádio,10,5,10,7,5,Não,E-mail,5,6,7,4,6,Não,Sim,Telefone 0800,Falta de energia,9,4,7,9,4,2,10,7,10,2,7,4,2,5,5,5,2,6,9,309,1.0,Classe C,6.621428571428571,AL,False,True,False,1,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,18 - 30,Médio completo,3,2000.0,De 1501 a 2000,666.6666666666666,De 601 a 700,De 61 a 70%,7,7,9,Sim,Rádio,10,6,3,4,6,Sim,E-mail,10,9,10,9,2,Não,Não,Telefone 0800,Informações gerais,10,5,10,5,5,6,10,8,7,7,2,1,4,5,1,5,8,7,5,451,3.0,Baixa renda,22.55,AL,True,False,True,2,Alto (>20%)
ALAGOAS,MACEIO,LESTE,Masculino,31 - 40,Médio completo,2,1500.0,De 601 a 1500,750.0,De 701 a 800,De 41 a 50%,4,4,9,Sim,Porteiro/ Síndico,5,4,10,7,9,Não,Impressa e entregue pelo leiturista,5,6,3,6,4,Não,Sim,WhatsApp,Tarifa Social,6,9,4,8,9,10,3,7,1,2,10,1,1,6,8,6,4,9,5,304,3.0,Baixa renda,20.266666666666666,AL,True,False,True,2,Alto (>20%)
ALAGOAS,MACEIO,LESTE,Feminino,41 - 50,Médio completo,8,4800.0,De 4501 a 5000,600.0,De 501 a 600,De 71 a 80%,8,8,10,Não,,,6,7,5,4,Sim,Impressa e entregue pelo leiturista,9,9,10,9,9,Sim,Sim,WhatsApp,2ª via de conta,6,5,10,5,10,7,7,6,6,9,6,8,8,6,2,1,10,2,7,450,1.0,Baixa renda,9.375,AL,True,False,False,1,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,18 - 30,Analfabeto,6,6000.0,Acima de 5000,1000.0,De 901 a 1000,De 31 a 40%,3,3,3,Sim,Jornal,7,7,5,6,5,Sim,Impressa e entregue pelo leiturista,10,5,5,8,5,Não,Não,WhatsApp,Religação de energia,8,2,9,6,7,3,7,9,3,9,9,8,4,2,5,4,2,10,5,357,3.0,Classe C,5.949999999999999,AL,False,True,False,1,Baixo (<10%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Feminino,31 - 40,Fundamental completo,3,2400.0,De 2001 a 2500,800.0,De 701 a 800,De 31 a 40%,5,5,5,Não,,,5,10,8,3,Não,Site,10,10,9,10,1,Não,Sim,Agência,Religação de energia,1,4,3,1,4,5,2,3,4,5,5,2,4,2,5,3,1,4,3,245,2.0,Baixa renda,10.208333333333334,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Feminino,41 - 50,Médio completo,1,2000.0,De 1501 a 2000,2000.0,De 1501 a 2000,De 11 a 20%,7,7,8,Não,,,6,8,5,6,Não,E-mail,10,9,9,10,7,Sim,Sim,Agência,Religação de energia,3,2,1,5,1,1,4,3,1,6,2,4,3,2,4,1,5,1,1,295,4.0,Classe B,14.75,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Feminino,31 - 40,Superior completo,1,3500.0,De 3001 a 3500,3500.0,Acima de 2000,Menos que 10%,9,9,2,Sim,Porteiro/ Síndico,10,9,10,3,9,Não,Impressa e entregue pelo leiturista,7,9,10,10,2,Não,Não,Agência,Ligação nova de energia,5,2,3,4,5,5,1,3,3,2,4,3,2,2,4,3,5,2,3,310,5.0,Classe B,8.857142857142856,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Masculino,51 - 60,Médio completo,4,2933.3333333333335,De 2501 a 3000,733.3333333333334,De 701 a 800,De 61 a 70%,3,3,10,Não,,,6,10,5,10,Sim,Impressa e entregue pelo leiturista,6,5,1,10,10,Não,Não,Aplicativo,2ª via de conta,5,4,5,5,5,2,2,4,2,3,7,3,7,1,3,1,4,1,2,446,3.0,Baixa renda,15.204545454545453,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Masculino,18 - 30,Superior completo,3,4000.0,De 3501 a 4000,1333.3333333333333,De 1001 a 1500,De 21 a 30%,8,3,7,Sim,Porteiro/ Síndico,5,7,3,7,7,Sim,Impressa e entregue pelo leiturista,9,9,8,9,2,Não,Sim,Aplicativo,2ª via de conta,5,1,5,3,4,1,4,4,1,2,5,5,2,3,3,1,3,5,1,384,3.0,Classe B,9.6,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Masculino,41 - 50,Superior completo,4,6666.666666666667,Acima de 5000,1666.6666666666667,De 1501 a 2000,De 21 a 30%,5,5,4,Sim,Jornal,8,9,9,5,3,Sim,Impressa e entregue pelo leiturista,5,6,2,10,4,Não,Não,Eletricista/ Leiturista,Informações gerais,1,1,5,5,4,2,3,4,3,3,2,6,4,2,8,4,7,1,2,423,5.0,Classe B,6.344999999999999,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Masculino,Acima de 60,Médio completo,3,1650.0,De 1501 a 2000,550.0,De 501 a 600,De 51 a 60%,7,7,10,Não,,,10,3,10,3,Sim,Impressa e entregue pelo leiturista,9,4,6,4,5,Não,Não,Telefone 0800,Reclamação,5,1,6,3,6,5,9,6,10,4,5,2,2,1,5,10,7,2,8,305,1.0,Baixa renda,18.484848484848484,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Masculino,31 - 40,Pós Graduação/ Mestrado/ Doutorado,1,5000.0,De 4501 a 5000,5000.0,Acima de 2000,Menos que 10%,4,4,10,Sim,Rádio,9,5,7,5,6,Não,E-mail,9,9,9,10,5,Sim,Não,Telefone 0800,Informações gerais,7,6,9,7,10,5,10,9,7,8,1,1,2,6,5,4,2,2,10,454,5.0,Classe B,9.08,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Feminino,41 - 50,Fundamental completo,3,1500.0,De 601 a 1500,500.0,De 401 a 500,De 61 a 70%,7,7,7,Não,,,9,3,9,7,Sim,Aplicativo,8,9,10,10,5,Não,Sim,Telefone 0800,Informações gerais,10,8,10,9,9,7,8,10,6,8,1,1,1,1,10,5,9,8,5,339,2.0,Baixa renda,22.6,AL,True,False,True,2,Alto (>20%)
ALAGOAS,UNIAO DOS PALMARES,LESTE,Masculino,Acima de 60,Fundamental incompleto,4,2533.3333333333335,De 2501 a 3000,633.3333333333334,De 601 a 700,De 71 a 80%,8,8,8,Sim,Jornal,8,9,5,9,10,Sim,Impressa e entregue pelo leiturista,7,7,7,8,6,Sim,Não,WhatsApp,Falta de energia,3,8,1,8,9,5,10,4,1,7,3,3,7,1,1,2,9,8,9,496,1.0,Baixa renda,19.57894736842105,AL,True,True,True,3,Medio (10-20%)
ALAGOAS,VICOSA,LESTE,Masculino,18 - 30,Analfabeto,1,2000.0,De 1501 a 2000,2000.0,De 1501 a 2000,Menos que 10%,9,6,9,Não,,,7,6,5,6,Sim,Impressa e entregue pelo leiturista,9,10,4,8,5,Sim,Sim,Agência,Parcelamento de conta,1,2,4,2,3,5,5,1,1,5,2,1,4,3,5,4,3,1,4,153,2.0,Classe B,7.6499999999999995,AL,False,True,False,1,Baixo (<10%)
ALAGOAS,VICOSA,LESTE,Feminino,Acima de 60,Médio completo,3,1650.0,De 1501 a 2000,550.0,De 501 a 600,De 61 a 70%,8,8,3,Sim,Rádio,10,7,8,10,7,Não,E-mail,9,9,9,10,2,Não,Sim,Agência,Troca de Titularidade,2,3,2,4,4,2,3,3,2,4,4,5,4,5,5,3,1,3,1,353,1.0,Baixa renda,21.393939393939394,AL,True,False,True,2,Alto (>20%)
